hand,score
33355566,326
11112259,326
11127789,326
12223347,326
11112779,326
11115778,326
12234444,326
12445555,326
22355578,326
11114779,326
11147789,326
13344489,326
11255558,326
23445689,325
24566778,325
22346678,325
13446689,325
11256789,325
11456789,325
13356689,325
23566779,325
34566779,325
12234689,325
11122244,325
22333555,325
13455557,324
44455668,324
13347789,324
12223457,324
33346778,324
13334789,324
14446779,324
13444478,324
33355667,324
22444566,324
12223346,324
14446677,324
22444569,324
33355679,324
13444589,324
12234489,324
33556779,324
33334456,324
12337789,324
23336778,324
12233589,324
23333459,324
24445677,324
12444459,324
11224789,324
11444469,324
12333789,324
33556677,324
12355557,324
22344467,324
22355568,324
12233336,324
33555669,324
22333668,324
11444466,324
12255567,324
23345589,324
11114448,323
11115577,323
33555778,323
33355578,323
11144449,323
13334444,323
22445557,323
24445558,323
22444558,323
12223344,323
12346789,323
22335559,323
11224444,323
11222338,323
34445559,323
11222455,323
12456689,323
11122237,323
13457789,322
11146689,322
34555678,322
12357789,322
11224689,322
33556679,322
22445678,322
12223456,322
23345789,322
23366778,322
13444468,322
13333467,322
23336678,322
24556677,322
12355556,322
14446679,322
11114669,322
12256677,322
12333367,322
11115668,322
24555669,322
24556779,322
11126689,322
11113678,322
11112669,322
33346678,322
15566778,322
33466778,322
22455669,322
11336789,322
13334689,322
13455556,322
23555678,322
24445679,322
24445667,322
22355678,322
12333689,322
11446689,322
12256779,322
11112258,321
11222349,321
13334489,321
24555778,321
12223445,321
33355568,321
22445779,321
11222358,321
11222457,321
11112778,321
23344445,321
11224489,321
33444677,321
11122489,321
11113779,321
22444578,321
33344467,321
23333447,321
13333577,321
13333559,321
13445555,321
11122236,321
11355558,321
22355779,321
22455778,321
11155789,321
13344449,321
11137789,321
11255557,321
23555779,321
22445556,321
11115579,321
11112249,321
11455557,321
11444589,321
11114778,321
11444478,321
34555779,321
23466779,320
13346689,320
12256679,320
12336689,320
11246789,320
34566778,320
23566778,320
11356789,320
24556679,320
23345689,320
13333579,319
11257789,319
11115569,319
13355789,319
11455556,319
22333567,319
11255556,319
12444458,319
33444679,319
11223789,319
14446778,319
22444568,319
23333458,319
11115566,319
33444667,319
12233489,319
23333446,319
24455567,319
22344677,319
22445567,319
22335677,319
11114467,319
33355678,319
11222456,319
11457789,319
33556778,319
12344489,319
34445677,319
13444459,319
11444468,319
11155689,319
33555668,319
23344589,319
11144448,318
11114447,318
11114555,318
11222445,318
12255577,318
11122245,318
22444557,318
11222355,318
11145555,318
13333444,318
11222337,318
11125555,318
12356689,318
22344477,318
22335558,318
11112555,318
11445555,318
11112255,318
24445557,318
34445558,318
13456689,318
33355779,318
24556778,317
13333569,317
24456677,317
12234589,317
22335667,317
34445679,317
23555669,317
22445669,317
34556677,317
13355689,317
12455789,317
14446678,317
11112668,317
13333566,317
11114668,317
24555668,317
33556678,317
34555669,317
24456779,317
12246677,317
11223689,317
22335679,317
14466779,317
34445667,317
23556779,317
12246779,317
22455668,317
22344667,317
11113669,317
22344679,317
23556677,317
12256778,317
24445678,317
12347789,317
11136689,317
34556779,317
22355669,317
23333455,316
24445779,316
13344448,316
11337789,316
24445556,316
11333789,316
11355557,316
13345555,316
12255579,316
34555778,316
11112248,316
12444455,316
12333377,316
12223345,316
22344479,316
22345559,316
11115578,316
22444556,316
22355778,316
13333477,316
11114446,316
11113778,316
11122389,316
23555778,316
33344677,316
11222357,316
11444459,316
11222348,316
12335555,316
11222336,316
13333558,316
11112257,316
12233335,316
11244489,316
11112239,316
22445778,316
33344477,315
23556679,315
11236789,315
12256678,315
11122233,315
24456679,315
12246679,315
24556678,315
34556679,315
12455689,315
23466778,315
11456689,315
11346789,315
11256689,315
12445589,314
12333589,314
12555677,314
33444678,314
11357789,314
13333479,314
13334589,314
33344667,314
22333467,314
11333689,314
12255566,314
11355556,314
11224589,314
13333578,314
14555677,314
23444677,314
24445567,314
33344679,314
11333367,314
13444458,314
11112256,314
22344469,314
11222356,314
11247789,314
33446779,314
12444457,314
12255569,314
12255677,314
22334677,314
34455567,314
33446677,314
11115568,314
33355669,314
23333457,314
22344466,314
12333379,314
12344449,314
33345559,313
11113555,313
22333577,313
12346689,313
22445577,313
11122235,313
33444779,313
11114477,313
33344479,313
22333559,313
23335559,313
11135555,313
11133389,313
11113339,313
11144447,313
34445557,313
22335557,313
24455577,313
33355778,313
23444667,312
14466778,312
23444679,312
12246778,312
14555667,312
22335678,312
34445678,312
23556778,312
23555668,312
22344678,312
13333568,312
22334679,312
23333456,312
12445789,312
24445669,312
11336689,312
34556778,312
12444456,312
34555668,312
12355789,312
12555667,312
12555679,312
34456779,312
22334667,312
34456677,312
13333469,312
12236677,312
12236779,312
14555679,312
13333466,312
22355668,312
24456778,312
12255667,312
33446679,312
22445668,312
12333366,312
12255679,312
11114567,312
11112567,312
13455789,312
12333369,312
22345677,312
11113668,312
12233334,311
11444458,311
13333557,311
22335779,311
33344466,311
22345558,311
22445579,311
11344489,311
11112247,311
13344447,311
11144789,311
12255578,311
11144446,311
22335556,311
11114479,311
24455579,311
13444455,311
11244449,311
22344478,311
11223389,311
13333449,311
34445779,311
11112238,311
